FID_1（网格编号）,FID_1_1,FID_1_1_1,Id,Are,Count_,Count_1,Count_2,,是否商业,工作2/住宅3,其他0,,FINAL 1商业 2工作 3住宅 0其他,,OBJECTID,FID_,COUNT,AREA,MEAN（人口密度）,
0,0,0,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
1,1,1,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
2,2,2,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
3,3,3,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
4,4,4,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
5,5,5,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
6,6,6,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
7,7,7,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
8,8,8,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
9,9,9,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
10,10,10,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
11,11,11,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
12,12,12,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
13,13,13,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
14,14,14,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
15,15,15,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
16,16,16,0,1000000,0,0,0,,0,3,0,,0,,1,16,1,754787.5404,723.6026611,2.6381E-05
17,17,17,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
18,18,18,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
19,19,19,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
20,20,20,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
21,21,21,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
22,22,22,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
23,23,23,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
24,24,24,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
25,25,25,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
26,26,26,0,1000000,0,0,0,,0,3,0,,0,,2,26,1,754787.5404,1125.864868,4.10466E-05
27,27,27,0,1000000,0,0,0,,0,3,0,,0,,3,27,1,754787.5404,1125.864746,4.10466E-05
28,28,28,0,1000000,0,0,0,,0,3,0,,0,,4,28,1,754787.5404,1125.864746,4.10466E-05
29,29,29,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
30,30,30,0,1000000,0,0,2,,0,2,2,,2,,0,0,0,0,0,0
31,31,31,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
32,32,32,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
33,33,33,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
34,34,34,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
35,35,35,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
36,36,36,0,1000000,0,0,0,,0,3,0,,0,,5,36,2,1509575.081,1125.864868,4.10466E-05
37,37,37,0,1000000,0,0,0,,0,3,0,,0,,6,37,2,1509575.081,1125.864746,4.10466E-05
38,38,38,0,1000000,0,0,0,,0,3,0,,0,,7,38,2,1509575.081,1125.864868,4.10466E-05
39,39,39,0,1000000,0,0,0,,0,3,0,,0,,8,39,2,1509575.081,1125.864868,4.10466E-05
40,40,40,0,1000000,0,0,0,,0,3,0,,0,,9,40,4,3019150.162,4685.387024,0.000170819
41,41,41,0,1000000,0,0,1,,0,2,2,,2,,10,41,2,1509575.081,8282.023193,0.000301945
42,42,42,0,1000000,2,0,2,,0,3,3,,3,,11,42,1,754787.5404,8439.280273,0.000307678
43,43,43,0,1000000,12,0,7,,0,3,3,,3,,12,43,1,754787.5404,8439.280273,0.000307678
44,44,44,0,1000000,0,0,1,,0,2,2,,2,,0,0,0,0,0,0
45,45,45,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
46,46,46,0,1000000,0,0,0,,0,3,0,,0,,13,46,1,754787.5404,1125.864746,4.10466E-05
47,47,47,0,1000000,0,0,0,,0,3,0,,0,,14,47,1,754787.5404,1125.864868,4.10466E-05
48,48,48,0,1000000,0,0,0,,0,3,0,,0,,15,48,1,754787.5404,1125.864746,4.10466E-05
49,49,49,0,1000000,0,0,1,,0,2,2,,2,,16,49,1,754787.5404,1125.864746,4.10466E-05
50,50,50,0,1000000,0,0,0,,0,3,0,,0,,17,50,2,1509575.081,1125.864807,4.10466E-05
51,51,51,0,1000000,0,0,2,,0,2,2,,2,,18,51,1,754787.5404,5020.325684,0.00018303
52,52,52,0,1000000,23,2,9,,1,1,1,,1,,19,52,1,754787.5404,8439.280273,0.000307678
53,53,53,0,1000000,37,1,28,,1,1,1,,1,,20,53,1,754787.5404,8439.280273,0.000307678
54,54,54,0,1000000,11,1,4,,1,1,1,,1,,0,0,0,0,0,0
55,55,55,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
56,56,56,0,1000000,0,0,1,,0,2,2,,2,,21,56,1,754787.5404,1124.548218,4.09986E-05
57,57,57,0,1000000,0,0,1,,0,2,2,,2,,22,57,1,754787.5404,1125.864868,4.10466E-05
58,58,58,0,1000000,0,0,0,,0,3,0,,0,,23,58,1,754787.5404,1125.864746,4.10466E-05
59,59,59,0,1000000,2,0,2,,0,3,3,,3,,24,59,1,754787.5404,1125.864746,4.10466E-05
60,60,60,0,1000000,4,0,6,,0,2,2,,2,,25,60,2,1509575.081,1125.864807,4.10466E-05
61,61,61,0,1000000,10,0,26,,0,2,2,,2,,26,61,1,754787.5404,5020.325684,0.00018303
62,62,62,0,1000000,80,1,9,,1,1,1,,1,,27,62,1,754787.5404,8439.280273,0.000307678
63,63,63,0,1000000,91,0,12,,0,3,3,,3,,28,63,1,754787.5404,8439.28125,0.000307678
64,64,64,0,1000000,51,0,4,,0,3,3,,3,,29,64,1,754787.5404,8439.280273,0.000307678
65,65,65,0,1000000,0,0,1,,0,2,2,,2,,0,0,0,0,0,0
66,66,66,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
67,67,67,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
68,68,68,0,1000000,0,0,0,,0,3,0,,0,,30,68,1,754787.5404,1124.548218,4.09986E-05
69,69,69,0,1000000,0,0,3,,0,2,2,,2,,31,69,1,754787.5404,1125.864746,4.10466E-05
70,70,70,0,1000000,0,0,4,,0,2,2,,2,,32,70,1,754787.5404,1125.864868,4.10466E-05
71,71,71,0,1000000,2,1,1,,1,1,1,,1,,33,71,1,754787.5404,1125.864746,4.10466E-05
72,72,72,0,1000000,4,1,4,,1,1,1,,1,,34,72,2,1509575.081,1125.864807,4.10466E-05
73,73,73,0,1000000,5,2,4,,1,1,1,,1,,35,73,1,754787.5404,2929.822754,0.000106815
74,74,74,0,1000000,39,1,7,,1,1,1,,1,,36,74,1,754787.5404,5140.021973,0.000187394
75,75,75,0,1000000,13,3,11,,1,1,1,,1,,37,75,1,754787.5404,4433.73877,0.000161645
76,76,76,0,1000000,93,0,32,,0,3,3,,3,,38,76,1,754787.5404,7520.783691,0.000274192
77,77,77,0,1000000,42,2,12,,1,1,1,,1,,39,77,1,754787.5404,8439.280273,0.000307678
78,78,78,0,1000000,0,0,1,,0,2,2,,2,,0,0,0,0,0,0
79,79,79,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
80,80,80,0,1000000,0,0,0,,0,3,0,,0,,40,80,1,754787.5404,884.6126099,3.22511E-05
81,81,81,0,1000000,0,0,0,,0,3,0,,0,,41,81,1,754787.5404,1115.434937,4.06664E-05
82,82,82,0,1000000,0,0,0,,0,3,0,,0,,42,82,1,754787.5404,1125.864746,4.10466E-05
83,83,83,0,1000000,0,0,0,,0,3,0,,0,,43,83,1,754787.5404,1125.864868,4.10466E-05
84,84,84,0,1000000,2,0,0,,0,3,3,,3,,44,84,1,754787.5404,1125.864868,4.10466E-05
85,85,85,0,1000000,5,1,1,,1,1,1,,1,,45,85,2,1509575.081,1125.864868,4.10466E-05
86,86,86,0,1000000,4,0,12,,0,2,2,,2,,46,86,1,754787.5404,1125.864746,4.10466E-05
87,87,87,0,1000000,7,0,5,,0,3,3,,3,,47,87,1,754787.5404,1125.864868,4.10466E-05
88,88,88,0,1000000,1,0,3,,0,2,2,,2,,48,88,1,754787.5404,1592.244263,5.80498E-05
