MEAN£¨ÈË¿ÚÃÜ¶È£©,rate
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
723.60,0.0000263810 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
4685.39,0.0001708192 
8282.02,0.0003019449 
8439.28,0.0003076782 
8439.28,0.0003076782 
0.00,0.0000000000 
0.00,0.0000000000 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
5020.33,0.0001830304 
8439.28,0.0003076782 
8439.28,0.0003076782 
0.00,0.0000000000 
0.00,0.0000000000 
1124.55,0.0000409986 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
5020.33,0.0001830304 
8439.28,0.0003076782 
8439.28,0.0003076782 
8439.28,0.0003076782 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1124.55,0.0000409986 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
2929.82,0.0001068151 
5140.02,0.0001873943 
4433.74,0.0001616447 
7520.78,0.0002741918 
8439.28,0.0003076782 
0.00,0.0000000000 
0.00,0.0000000000 
884.61,0.0000322511 
1115.43,0.0000406664 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1592.24,0.0000580498 
3927.99,0.0001432062 
3411.02,0.0001243585 
2187.90,0.0000797663 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1343.05,0.0000489647 
1445.42,0.0000526971 
2084.88,0.0000760103 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
1015.58,0.0000370260 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
862.03,0.0000314278 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1124.24,0.0000409874 
1092.86,0.0000398435 
1087.34,0.0000396419 
1919.02,0.0000699635 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
1887.18,0.0000688025 
1103.61,0.0000402354 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
953.98,0.0000347801 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1013.86,0.0000369632 
1085.64,0.0000395800 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1118.52,0.0000407789 
1079.39,0.0000393523 
1012.06,0.0000368975 
1010.76,0.0000368500 
1830.90,0.0000667506 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
1607.80,0.0000586171 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
877.95,0.0000320080 
0.00,0.0000000000 
1191.03,0.0000434223 
1258.84,0.0000458948 
1335.56,0.0000486918 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
1125.86,0.0000410466 
1125.86,0.0000410466 
1125.86,0.0000410466 
1121.83,0.0000408994 
1110.23,0.0000404768 
1089.82,0.0000397324 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1644.08,0.0000599397 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
1259.47,0.0000459176 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
946.76,0.0000345170 
877.95,0.0000320080 
877.95,0.0000320080 
0.00,0.0000000000 
0.00,0.0000000000 
1297.04,0.0000472873 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
1361.24,0.0000496280 
1227.03,0.0000447348 
1125.86,0.0000410466 
1125.86,0.0000410466 
1066.45,0.0000388806 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1010.76,0.0000368500 
1506.51,0.0000549241 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2187.90,0.0000797663 
2065.90,0.0000753182 
1262.59,0.0000460313 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1015.58,0.0000370260 
1014.98,0.0000370041 
